strain_name,plate_pos,date_collection,site_collection,plant_num,leaf_num,OTU_assignment
plate11.C12,C12,11_12_2015,Eyach,124,a,OTU1
plate11.C2,C2,11_12_2015,Eyach,182,b,OTU1
plate11.C3,C3,11_12_2015,Eyach,103,a,OTU1
plate11.C4,C4,11_12_2015,Eyach,139,a,OTU1
plate11.C5,C5,11_12_2015,Eyach,140,a,OTU4
plate11.C6,C6,11_12_2015,Eyach,170,b,OTU6
plate11.C7,C7,11_12_2015,Eyach,170,b,OTU2
plate11.C8,C8,11_12_2015,Eyach,159,b,OTU1
plate11.C9,C9,11_12_2015,Eyach,137,a,OTU1
plate11.D1,D1,11_12_2015,Eyach,182,b,OTU1
plate11.D2,D2,11_12_2015,Eyach,103,a,OTU1
plate11.D3,D3,11_12_2015,Eyach,140,a,OTU2
plate11.D4,D4,11_12_2015,Eyach,139,a,OTU2
plate11.D6,D6,11_12_2015,Eyach,170,b,OTU1
plate11.D8,D8,11_12_2015,Eyach,137,a,OTU1
plate11.D9,D9,11_12_2015,Eyach,137,a,OTU1
plate11.E1,E1,11_12_2015,Eyach,98,a,OTU1
plate11.E10,E10,11_12_2015,Eyach,114,a,OTU1
plate11.E11,E11,11_12_2015,Eyach,114,a,OTU2
plate11.E2,E2,11_12_2015,Eyach,108,a,OTU1
plate11.E3,E3,11_12_2015,Eyach,108,a,OTU2
plate11.E4,E4,11_12_2015,Eyach,123,a,OTU2
plate11.E6,E6,11_12_2015,Eyach,99,a,OTU1
plate11.E7,E7,11_12_2015,Eyach,99,a,OTU1
plate11.E8,E8,11_12_2015,Eyach,106,a,OTU1
plate11.E9,E9,11_12_2015,Eyach,106,a,OTU1
plate11.F1,F1,11_12_2015,Eyach,98,a,OTU2
plate11.F10,F10,11_12_2015,Eyach,114,a,OTU1
plate11.F11,F11,11_12_2015,Eyach,155,b,OTU2
plate11.F2,F2,11_12_2015,Eyach,108,a,OTU1
plate11.F3,F3,11_12_2015,Eyach,108,a,OTU1
plate11.F6,F6,11_12_2015,Eyach,99,a,OTU1
plate11.F7,F7,11_12_2015,Eyach,99,a,OTU2
plate11.F8,F8,11_12_2015,Eyach,106,a,OTU1
plate11.F9,F9,11_12_2015,Eyach,106,a,OTU5
plate11.G1,G1,11_12_2015,Eyach,158,b,OTU3
plate11.G10,G10,11_12_2015,Eyach,172,b,OTU1
plate11.G11,G11,11_12_2015,Eyach,126,a,OTU1
plate11.G2,G2,11_12_2015,Eyach,93,a,OTU6
plate11.G3,G3,11_12_2015,Eyach,93,a,OTU5
plate11.G4,G4,11_12_2015,Eyach,184,b,OTU1
plate11.G5,G5,11_12_2015,Eyach,119,a,OTU3
plate11.G7,G7,11_12_2015,Eyach,134,a,OTU1
plate11.G8,G8,11_12_2015,Eyach,134,a,OTU1
plate11.G9,G9,11_12_2015,Eyach,134,a,OTU1
plate11.H1,H1,11_12_2015,Eyach,158,b,OTU3
plate11.H10,H10,11_12_2015,Eyach,172,b,OTU1
plate11.H11,H11,11_12_2015,Eyach,126,a,OTU10
plate11.H12,H12,11_12_2015,Eyach,142,b,OTU1
plate11.H3,H3,11_12_2015,Eyach,93,a,OTU6
plate11.H4,H4,11_12_2015,Eyach,184,b,OTU1
plate11.H5,H5,11_12_2015,Eyach,119,a,OTU3
plate11.H6,H6,11_12_2015,Eyach,132,a,OTU1
plate11.H7,H7,11_12_2015,Eyach,134,a,OTU1
plate11.H8,H8,11_12_2015,Eyach,134,a,OTU1
plate11.H9,H9,11_12_2015,Eyach,134,a,OTU1
plate12.A1,A1,11_12_2015,Eyach,181,b,OTU1
plate12.A10,A10,11_12_2015,Eyach,155,b,OTU1
plate12.A11,A11,11_12_2015,Eyach,155,b,OTU1
plate12.A2,A2,11_12_2015,Eyach,142,b,OTU1
plate12.A5,A5,11_12_2015,Eyach,152,b,OTU1
plate12.A6,A6,11_12_2015,Eyach,124,a,OTU1
plate12.A7,A7,11_12_2015,Eyach,124,a,OTU1
plate12.A8,A8,11_12_2015,Eyach,124,a,OTU1
plate12.A9,A9,11_12_2015,Eyach,155,b,OTU2
plate12.B1,B1,11_12_2015,Eyach,177,b,OTU1
plate12.B10,B10,11_12_2015,Eyach,100,a,OTU1
plate12.B11,B11,11_12_2015,Eyach,105,a,OTU1
plate12.B2,B2,11_12_2015,Eyach,177,b,OTU1
plate12.B3,B3,11_12_2015,Eyach,164,b,OTU1
plate12.B5,B5,11_12_2015,Eyach,113,a,OTU1
